date,python,C,C++,fortran,R,matlab
2012-06-01,16557,4217,4879,,,
2012-09-01,19538,5665,5900,,,
2012-12-01,22988,7174,6929,,,
2013-03-01,32238,8731,8467,,103.0,156.0
2013-06-01,40260,9514,11076,,,
2013-09-01,47380,11128,13640,143.0,157.0,114.0
2013-12-01,56006,14067,17599,,458.0,136.0
2014-03-01,70108,18942,24408,211.0,382.0,157.0
2014-06-01,80016,19592,28633,548.0,688.0,353.0
2014-09-01,88466,21453,33687,553.0,541.0,351.0
2014-12-01,97203,24306,38832,502.0,779.0,557.0
2015-03-01,130483,32060,46080,655.0,1620.0,662.0
2015-06-01,148792,37462,50167,734.0,1647.0,822.0
2015-09-01,170900,42676,58829,514.0,2349.0,843.0
2015-12-01,182989,46466,62678,649.0,2208.0,916.0
2016-03-01,208898,51259,74533,859.0,3041.0,1442.0
2016-06-01,219173,50174,76601,603.0,3109.0,1340.0
2016-09-01,214755,48509,76058,891.0,2480.0,1143.0
2016-12-01,218637,52839,78706,688.0,2545.0,1458.0
2017-03-01,229442,50041,84767,,2570.0,1590.0
2017-06-01,264327,51213,98572,,3475.0,2176.0
2017-09-01,207040,45938,83184,,2155.0,1453.0
2017-12-01,191596,45143,80560,,1978.0,1205.0
2018-03-01,206444,36995,82228,,2931.0,1226.0
2018-06-01,164917,29802,71762,,2234.0,1130.0
2018-09-01,172595,30095,71430,,1888.0,868.0
2018-12-01,171912,32015,66636,,1615.0,837.0
2019-03-01,189576,35860,78236,,1810.0,
2019-06-01,131829,23623,53706,,1196.0,
2019-09-01,184191,34479,76087,,1350.0,
2019-12-01,200388,33655,78184,,1328.0,
2020-03-01,184172,36082,84198,,1585.0,
2020-06-01,195956,40392,92892,,1452.0,
2020-09-01,178689,32530,78060,,999.0,
2020-12-01,183282,34758,77816,,1036.0,
2021-03-01,181210,35452,76120,,1018.0,
2021-06-01,174933,32404,71624,,932.0,
2021-09-01,154465,28659,64747,,838.0,
2021-12-01,130338,22906,48495,,566.0,
2022-03-01,183994,33329,76624,,505.0,
